;Woche 1;Woche 2;Woche 3;Woche 4;Woche 5;Woche 6;Woche 7;Woche 8;Woche 9;Woche 10;Woche 11;Woche 12;Woche 13;Woche 14;Woche 15;Woche 16;Woche 17;Woche 18;Woche 19;Woche 20;Woche 21;Woche 22;Woche 23;Woche 24;Woche 25;Woche 26;Woche 27;Woche 28;Woche 29;Woche 30;Woche 31;Woche 32;Woche 33;Woche 34;Woche 35;Woche 36;Woche 37;Woche 38;Woche 39;Woche 40;;;;;;;
Krafttraining 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Warm Up Mobility 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10 min. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Klimmzüge an Ringen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KG;15;10;10;10;8;8;10;10;10;10;10;10;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;4;6;6;4;6;6;6;6;6;6;6;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;4;6;6;4;6;6;6;6;6;6;6;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Klimmzug halten mit Side Boxen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;2;6;4;5;4;4;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;2;4;4;4;4;4;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lizzard Push Ups fortlaufend ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KG;;;;;8;8;10;10;10;10;10;10;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;6;6;8;8;8;8;7;8;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;6;6;8;8;8;6;7;8;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hang Power Snatch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KG;20;20;30;30;30;35;35;35;35;35;35;35;35;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;6;6;4;6;6;4;5;6;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;6;6;6;6;6;5;5;6;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;6;6;6;6;5;6;6;6;6;6;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;6;6;6;5;5;7;5;6;6;6;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;6;6;2;4;4;5;5;6;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Sugercane 1min;;;;;;;;;;;;;;;;;;;;;;;;;;
