;Woche 1;Woche 2;Woche 3;Woche 4;Woche 5;Woche 6;Woche 7;Woche 8;Woche 9;Woche 10;Woche 11;Woche 12;Woche 13;Woche 14;Woche 15;Woche 16;Woche 17;Woche 18;Woche 19;Woche 20;Woche 21;Woche 22;Woche 23;Woche 24;Woche 25;Woche 26;Woche 27;Woche 28;Woche 29;Woche 30;Woche 31;Woche 32;Woche 33;Woche 34;Woche 35;Woche 36;Woche 37;Woche 38;Woche 39;Woche 40;;;;;;;
Krafttraining 2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Warm Up Mobility 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10 min.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hang Power Clean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KG;20;30;35;32,5;35;35;35;35;40;40;45;45;50;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;8;8;8;8;8;6;6;6;8;6;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;6;8;8;8;8;8;6;6;6;8;6;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;6;8;8;8;8;8;6;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langhantel Thruster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KG;20;30;35;32,5;35;35;35;35;40;40;45;45;50;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;8;8;8;8;8;6;6;6;8;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;6;8;8;8;8;8;6;6;6;8;5;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;6;8;8;8;8;8;6;6;6;6;6;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langhantel Shrugs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KG;70;70;70;80;80;80;80;80;80;80;80;80;90;90;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;;8;8;8;8;8;8;8;8;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shoulder 2 Overhead;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KG;25;35;35;35;35;35;40;40;40;40;40;40;40;40;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;8;8;8;8;8;8;8;7;8;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;8;8;8;8;8;8;8;7;8;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;8;8;8;8;8;8;8;7;8;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
